id,followers,genres,name,popularity
5Z5xacWm71NpXvZwLJf2B8,6643.0,"['chillhop', 'jazz boom bap', 'lo-fi beats']",Guru Griff,38.0
2PL1xeiOivGc65sq6cg5kS,63.0,[],Damien Vanni,2.0
6tkdsGYmz42qh3cmVyCGqX,6.0,[],San Martín de Sicuani,0.0
7JZ67AkZFebgQChOzRRAfS,62.0,['mountain dulcimer'],Artus Moser,1.0
4gz2E3qnvrsjMBVo0nEcDh,732.0,[],Kid Down,9.0
4wNtNC6DExBCTMiUcZBw1Z,2232.0,['shimmer pop'],Twinsy,11.0
6kgRztjoVfMRG3c3BVMP0Q,113.0,['finnish indie'],Moppi Ja Aivokurkiaiset,3.0
67G9ixkNSoG2ZT8DoFuEw4,115.0,['deep soul house'],Knarf Skipson,1.0
6mGx709uO52FulHGtFKdbn,1172.0,[],Froy Espitia y Su Contragolpe,7.0
4vqqvZDWebnLWGAjySebmQ,23.0,[],Pizzasaurus Rex,0.0
3fZkpdCUdu27IScZ1vidmc,707.0,['native american spiritual'],Jeff McClellan,20.0
0WCEYhRlDpK2pL4qoEXBea,2400.0,[],Khani,15.0
2foWZj2fTv20OSDbldBr7C,0.0,[],The Tammy Borden Band,0.0
12Lx27kM3i0A3gfE9m3Bcc,77.0,[],Emerson Buckley,33.0
4TS37lr3ZraUxBHS727sEp,99774.0,"['phonk', 'wave']",LXST CXNTURY,64.0
3tqHAMBRyzuVnTOMUqTUjF,37.0,[],Tomas Savka,0.0
4NT5ekYELLMkEzjR7nClL9,90.0,[],Homewards,0.0
39idvGdBfI929ygMmRudJn,0.0,[],Anirvan Punnoose,0.0
7EQpqIkdvYVMxLbyqMmIao,54.0,[],Lost Sun,20.0
1O12UR5S6jpvcEctw4q6u0,28.0,[],Big Society Original Cast,0.0
5GfbZOXcR1BLwH6ZiCppse,15.0,[],Mutalisk,0.0
1li5MToxjLmW6cjnlcZ1ue,13.0,[],Dejan Djurkovic Englez & Srcani Udar,0.0
6I4J46VpyJwQNucHttje1o,53.0,['vintage italian pop'],De Sica Vittorio,0.0
2pwi4UCwg2hfWni9RJzv6R,401.0,['tech trance'],Michael Kaelios,14.0
4Jw6KF9nEFbjnuefNm5bVc,331.0,['bahai'],Munirih Sparrow,9.0
6N8EiT4TZeylHfY58xVEs4,1.0,[],Ahva,0.0
4gD6itw0KBqOfSXuBml3OX,23.0,[],Alf Linder,11.0
6Tlhlskq6kC7dWRQRbqDka,118.0,['world chill'],Rey de Copas,5.0
0b5aUa2fye5WFIK1HKPwBV,139.0,[],tobaccojuice,0.0
3191kObqcjFaTYD0NDEOeV,17.0,[],Frank Park,0.0
2HbWrqrvobClRRn5uZb1V4,4564.0,['pop romantico'],Industria Nacional,29.0
167opZrADO9bm9bn8fiQm1,383.0,[],Tomtens klingande jul orkester,0.0
0PMtbt9jIICULQus8YZXwc,15.0,[],Prabhakaran,31.0
1pcufq5QrAZE0kBRQS65DM,36302.0,"['christian hip hop', 'christian pop', 'christian trap', 'nz christian']",CASS,49.0
2w8gxKDpkQTNSlzqTezQtT,0.0,[],Scott Pfaffman,0.0
0BcvAxcLzqILPY2tYD3Fdw,0.0,[],Manik Dadarkar,0.0
2WJl4lNG3sYTSP3oi5viLW,5.0,[],MedK,0.0
4RmavaZpgA4Ugm7kOd23UA,58.0,[],Sarah Hurst,0.0
0tY8VUjb8P7MeaqITCQE5w,19.0,[],Mystic Diversions feat. Nadine Renee,1.0
6Raiy9XUBp5eMOW4mLVfPV,46.0,[],Akhtar Ali,0.0
63JB2VTUd9EWhRQguoHRSB,332.0,[],Yoja.J,18.0
0ojgcvasAUtJXXV8ddYQNt,9346.0,['dembow'],Dixson Waz,48.0
5pAIuRRaN1yjjedvrPVYLJ,122.0,[],Christmas Hits on Piano,17.0
02neNIFrccmCAfCLL9XOxX,11.0,[],Avarice,0.0
7qdYnZF72PFoEHoRlFGv0h,8.0,[],Jay D. R.,0.0
3H6y31Ttbfeb5O7XrnFL7P,262.0,[],Marvellous Melodicos,10.0
4Wo2iIP6Qa3p3VSOZ2TzXh,10.0,[],Coste,9.0
59rifnpsjcINdjVFkO3MfZ,23.0,[],Juan Socorro,1.0
7aEi0DyT4Ijj5QLHh3ONvh,17.0,[],Laura LaVelle,0.0
7zfPY3JFIZqAaxa7avjvwu,370.0,[],Herbert Roth,16.0
1Ao8elb7po99VD1sSNZqou,62.0,[],Centauri,2.0
67DBqVVuGZnLVjHbFMCbau,608.0,['latincore'],Promesas,1.0
2i7lcqmkXenSMNTeXdAsPZ,4427.0,"['dub', 'early reggae', 'reggae', 'rock steady']",The Silvertones,29.0
1304LFtFdnCCrPye1jPfrH,78.0,[],Lalit,5.0
47t55maRKGSPsa5X37rUZK,1727.0,[],Sandrah Araja,37.0
0OOWegqxxKxTte5nWdPCsE,11.0,[],La Mafia Rumbera,0.0
2wZlc7Sh9Ph86QKAAPvkTW,496.0,[],RealRed,15.0
6oj3XsNMTT7YP4HM3Xp7aM,281.0,[],Vince Dolphin,5.0
4lb4zfaC7w8vbQTJxR8ePK,67.0,[],Shree D,27.0
5nXLPjfAhbH06xw7Dkqsuy,161.0,['trekkspill'],Norske Spelemenn,2.0
2urxSt80KrpGkfTGjSH2FZ,242.0,[],Cataphant,1.0
29C537S8hSgwRIknDQFJDY,569.0,['classic dutch pop'],Radi Ensemble,23.0
20AmvOLvW88NCIUyMbjLFC,10.0,[],Olcay,0.0
0e0aVtwo6BEVDMiXFTodj6,7.0,[],Alram Childrens Chorus,0.0
0VTz21QpiUBK97W68ulVUw,362.0,['pinoy edm'],GAVRIO,26.0
7v6DWF4fPnyeABngBnGKIT,6.0,['barrelhouse piano'],Smith & Irvine,0.0
03ws5hBXx7JVoFuphFGZne,0.0,[],Speed Da Menance,0.0
36rtrI9nnLoxNR62btXp9d,43.0,[],Slushy Guts,0.0
4sCIWzMcwk4GOuwFqQOn6h,0.0,[],Los de Aragon,0.0
7zwkxIaz9elHSKOXThwPNz,907.0,['hard glam'],Swingin' Thing,0.0
7yql3GubyLicZIGDIfnTYH,82.0,[],Maribel Diaz,13.0
1rh2a4K8yVCaiUPV7nvyJf,51.0,[],B.CC y TT Cautivo y Santiago,1.0
5lWyFSVmJhyxorxnVaDJTg,3.0,[],Zenith & Velha Guarda da Mangueira,0.0
4EgPOzPB3RAnlHGp0L7kQt,52.0,['ragga jungle'],Zelektor,1.0
2PyuOnQDHjVipk4kAQ5QPX,1.0,[],Zagrebački Madrigalisti,0.0
44ewAwGo5hZMCFpwboaFfQ,348.0,[],Katarina Gubanova,9.0
4TgjWSibighyMdghiZkRKT,1.0,[],Dreamtunes,0.0
6NOZfEOyKQoovpmxYygJoS,3.0,[],Proffessor Longhair,0.0
2wwzxqDQ1K026yPTBw3sAm,22.0,[],Gordon Lyu,5.0
4M506nGvYT0WhG0kbkGrla,70236.0,"['contemporary gospel', 'gospel', 'praise']",Chicago Mass Choir,38.0
2RZgwmOXFuCI9dzsN1X6K1,52.0,[],Dogus Kaynak,9.0
2x29ErikZadqB9eahSKGMb,217.0,[],Friends of Johnny Clegg,14.0
04gzLl5jQ8vXEOuNYu9t2w,2.0,[],Balavant Raja,0.0
31higKBWU1Y0WIuqCnagP3,420.0,[],Wyne,13.0
7iuZLycNTft4WtppKHAcHu,295.0,[],Eve Brenner,13.0
0FQEktBdHOndFDzsDI5VHQ,0.0,[],Анна Перестова,0.0
065I5I0FzgH77POD2WZRCb,0.0,[],Shane Roller,0.0
5pDXmDaQCprUNxQEraLrIZ,10.0,[],T.C. Jones,0.0
4XEFxep50D40wWwyhd6bfz,0.0,[],milue macïro,0.0
6nETWfl6EYBA3pLjhg0Dnx,0.0,[],4X4Tracktor,0.0
0jvUrrlIQ3Atvup4xyLeJc,59.0,[],Galaxy Donuts,15.0
3KWOkq7nrD0UybEUMj4Ryt,11718.0,"['slayer', 'swedish progressive metal']",The Great Discord,32.0
,,,,
2t1JyG4dBeFFdvfKGim1Md,85.0,[],War Cry,0.0
5AyVNaMgKfT7JFQqf2PDup,638.0,[],Makeshift Cities,0.0
7utah87Eo6WObuZRV0CsZN,0.0,[],Bé Tường Vy,0.0
36k5ufVrBBlckMganrZ6Wp,40.0,[],The Good,1.0
0I58ditFATtmTDfsLTpNmp,10.0,[],José Miguel Crego Y Su Quinteto Top Secret,0.0
4mDGuVEaLhBK5uxMsTiX2e,67.0,[],DJ King Sams,6.0
4Dvmq7biE3FbxfCS1Jo1XT,11.0,[],Magui Mateus,0.0
7v8tEiy76HuAralVZZlZeH,11.0,['arab groove'],TawfiqTawfiq,5.0
4Bf6MTRTXZhmdpvJpDjqeR,214.0,[],4KTREYWORLD,9.0
1jq5bYdNTCAlKPTPJY5At9,627.0,[],Lurlean Hunter,7.0
34WPUyf93XGXKEbiwQs3e1,7.0,[],Collegium Vocale,1.0
7CIYjfoFxEAYVe0P0TgdwF,349.0,[],Elektroschneider,5.0
7sBukYusPQSPVW28Jv6N8u,5.0,[],Dead City Psychos,0.0
4t1SyHOCmb7S2WJV86DCCu,44.0,['brazilian classical piano'],Aurélio Rebello,7.0
6cUxFmglW7PeSS5dKaWOtP,126783.0,"['axe', 'pagode', 'samba reggae']",Terra Samba,46.0
5lyn2xVoxK4b95Z9BLizGT,401.0,[],Maré Cheia,21.0
01Fs7fob47B0FnKym7jICZ,2.0,[],Hijos del Puré,0.0
08MSWf4tfmMUdZ4u8GEnIU,76.0,[],Violent Worship,9.0
5cezql2NR7mUq5mvsJUhlD,172.0,[],Vermillion Road,1.0
44uE2xGCZSDe3LTxDr4r3B,177.0,[],Coastline,12.0
6r22wfaEMZWp8wkizZm6iC,9.0,[],Хауст,1.0
009zllOtytyrPVEB8K3Am2,0.0,[],Rick de La Torre,0.0
4zvO09rVUIVTeALhs6xLoB,360032.0,"['polish hip hop', 'polish trap']",Otsochodzi,64.0
4fKRgT0fp9ymfoEkaSwJiP,0.0,[],Yen Trang,0.0
77zrdipG8Kju7d8PiomKOa,999.0,[],Trevo,11.0
5AxF4IQxIz8vimGfnSlPaf,142.0,['industrial metal'],Pig,7.0
56BK1G5OtG42wsSW7hvN5S,2.0,[],Polio Le Vent,0.0
1cTPNM0BUAflDiXk1lWDRO,81.0,[],Mike De Velta,0.0
5Dg23gFmlv6hGpg4PmrD8k,266.0,['russian hardcore'],Hellweed,7.0
0ZiQNQSmanB6vuoaibRoip,1618.0,['deep norteno'],Los Ilegales del Bravo,16.0
00ZSYx7GLONlZ2ozAISmq7,1386.0,['gabba'],Nico & Tetta,16.0
4XIsmzc8rDt527OERNts2D,303.0,[],Trial By Fire,4.0
3pjysGMUFoTkocuxvR1Hsq,0.0,[],Regal Players,0.0
6cX1jZsDXbAwa6WN3CpLYo,428.0,[],Django,27.0
1yv1UzUzZuDDA4tO0Yn8RA,24.0,[],Huby Mayer,1.0
50P9Jf2dYoIZ58XxezI5bY,2.0,[],The Wolftracks,0.0
389NESPdBGiINFmGlXxYJG,298.0,[],Quercus,6.0
4lbrWVEKE4VAMrriIbP6wx,4.0,[],Wynna,0.0
2ccZ60qvbToQ3iDGU1Kixu,149.0,[],My Friend Dario,6.0
3b04Lb5yBdKMqvEKHxW9BQ,6.0,[],Milaflore,0.0
3abW7wpfRzEbQehTG9GAyn,174.0,['british soundtrack'],Benson Taylor,18.0
6VfL0bLOgdK3uIRJdSPEVU,0.0,[],Kirsten Skaland,0.0
0CFQWRlvfmSRUD65loExLF,19.0,[],Andrew Katz,0.0
32dHlV8QMWIABhuamTdP5m,6.0,[],Deejay Bassulas,0.0
3Zvuv58LtFOxzkgK4QySJX,4.0,[],LeAnne Worden,0.0
3yUILgnLCtYXo6vVm20vly,0.0,[],Redivivus,0.0
6jGIY0FDKLEWixfXTgh8wI,798.0,[],Javier Ortega,18.0
0Mjv2vv0zqFMDbR3XUZbG9,68.0,['guidance'],Good Parenting Institute,0.0
0GX4O6eAKD9fwHsuTYkVDu,13.0,[],Explizit,0.0
5s2KmkxgXSyGh6v9I7RT2N,12.0,[],The Bolides,0.0
7sl5unt4ttUEPFfcGdeZL4,11.0,[],Kamarádi z Údolí děsu,0.0
6hyx7VNXmOXERxi2nea88A,63.0,['israeli metal'],Stormy Atmosphere,0.0
05wneV7pgAAO2VBlEfUmBN,117.0,[],Los Auténticos de Hidalgo Y Trío Alborada Hidalguense,10.0
3WTe5bWH36XMeo2UXf3WkJ,47.0,[],Emperior Richard Okhomina,1.0
4hetQN5R75tpAf9McN9L1i,0.0,[],Tumse Achha Kaun Hai,0.0
32N3ovxRWJFnUzlUZmXM2t,376.0,[],Mervin Mayo,12.0
0oVPIWVR8YJJhoWEmT1Xpw,15.0,['organic ambient'],emdot_ambient,0.0
6UFqtFCNxhYqsQ1QRF6HRd,815.0,[],Rogér Fakhr,34.0
0FKNV8sNYHzvqdKQA4LOfj,16.0,[],Iz.Ma.Il,0.0
4quIv3Vd10bFXrm75F2c20,513.0,[],Chase Burnett,7.0
42x99riWBaysIDHuKbE7AU,163.0,[],The Jook,3.0
57Fl4vnQ9XrNFKRHa75MVG,459.0,[],Karelia,4.0
6yxgL5acc7GvMJZGYtBc2Y,4.0,[],Dubgray Dust,0.0
6XsYyM6VcCkFglSRqzUMXJ,1810.0,['vogue'],Vjuan Allure,38.0
5J2IRDEAHkbJY1gNcs7ARo,99.0,[],Bias,2.0
646PgKNrdVXQ0jdc6W0FaA,345.0,[],Quasar Music,11.0
5QidF8yXlvTyGkDy24JImY,2883.0,"['nyc metal', 'psychedelic doom']",Clouds Taste Satanic,20.0
5yQzq87Fu3ZTADxVWwWoj7,500.0,[],AJ McQueen,5.0
4tiq2Ykqq08xE0bKivSXf2,444.0,['nerdcore'],Bag of Tricks Cat,13.0
2pn0HEFfRjSwzIfKRSb6mN,7.0,[],Lasse Overgaard Nielsen,1.0
1OJWWU5kvsnJRmmA0ahs2X,3184.0,"['lesen', 'reading']",Ildikó von Kürthy,50.0
3cwBgWfKly5VBsrimsXSc9,1.0,[],James McNary,0.0
0A4h46rfqYs5yT24kvnKGu,6.0,[],Каратэ,0.0
2WhHNnRUfIpK0TwHo9b85C,43.0,[],Katrin Haag,1.0
6HMjJOd6AVQtTZR9mwdtZa,228.0,"['wind quintet', 'wind symphony']",Bergen Wind Quintet,9.0
67DOYXuy89nKUxAM3q2QTy,0.0,[],Jean Bulyaba,0.0
0WeWsgv7wWrgSHKBCInMv0,34283.0,['chill lounge'],Bliss,49.0
521B1kGnJeRtG9d0h5fFgM,3.0,[],Monaci,0.0
2hZC27Ai3PBAETODdnmwbT,56.0,[],F3tto,0.0
2gp8NYHjW409dhlRmTq62G,48.0,[],Rachel Taylor-Beales,0.0
4Y7P8O5PNR7k7IvoLWfYTY,6540.0,['frauenrap'],Rina,47.0
7kQuhRPrJDHnJYC2TDqKtA,1.0,[],Rick Slagle,0.0
6Av9ydTG5mIgNRliPAJebb,191.0,[],Milicia,12.0
71ybUe9aNQCa8xlFArmHj3,181.0,['charred death'],Vomitchapel,0.0
6KRkvYbkK8O1VjyZ4a92d3,44.0,[],Layra,0.0
0CKABKgJrrdb2af31bhSqJ,48.0,[],Caroline Keiff,12.0
70Onrz2q3OM5dMASEGgUBp,409.0,['chinese hip hop'],ATM頂級玩家,10.0
1PkF1d3wg9LtJGbPy90UrZ,4.0,[],The Savettes And Choir,0.0
5iSv4JxV0pnfJU7ahSVLW1,0.0,[],Geneva Grand Theatre Orchestra - Chorus of the Florentine May Festival,0.0
07iGVwhB74lM23ycCRi9UI,0.0,[],Ntombemnyama,0.0
7lwjjMPB0a7AfbkwcDipfO,19727.0,"['turkish alternative', 'turkish rock']",Batu Akdeniz,52.0
5FzqYwNTCkIN2qmYqHSb31,6340.0,['tejano'],Tierra Tejana,9.0
2avEYujUCIo17MSn1xumIq,6.0,[],Jean Grace,0.0
26u8yZqpmuhdH9SvClAJrc,4912.0,[],Guaracha,40.0
1Xf0k3gWNPbaICA6LNI1Mn,36.0,[],Light Pressure,0.0
0Eae7Ydr03Ffzmu7ANaedc,199.0,[],Reg Kaltani,18.0
3WO1OMlkv1CARY8ZV0CKvS,1.0,[],M.M. Srilekha,3.0
1qgNwNVR4xl1If4B75KMzP,109.0,['kabyle'],HK.Radwani,8.0
6DujoojkLtkDsgZncMEMIn,177.0,[],David Ashley,1.0
48hJgwKeALuTB2riLcfmku,41.0,"['english renaissance', 'madrigal']",Michael East,10.0
3lzKDxlUNhSyCD20H6mHyv,942.0,['musica infantil'],Nana Bebê,47.0
79YRP2r4PFWWti6AEzfO3U,39.0,[],Giovanni Scasciamacchia,1.0
1y0KLCkHiv9sm14DdOCINQ,2.0,[],Groove Cyclone,0.0
2rbpooPmqGowVRhw7cy9w3,5.0,[],Denny Berthiaume/Jeff Buenz,0.0
3DYAP9CXyfNiM2nlu09w4i,2361.0,['indie anthem-folk'],Rose Betts,48.0
3TGrw0BtiPB4LbuEe6H85x,893.0,['mariachi'],Mariachi Estrella De México,18.0
6MS1KkIUBc2TwsfO4q0eVk,3.0,[],Heirs To The McQueen Fortune,0.0
0InqRLTtUHUOlwIntoFODs,12.0,[],Vaden Thurgood,0.0
1ZcyeBjqcISawY2EImhVMa,0.0,[],Princely Players,0.0
4j1XIjvp3ElIGMFkYIhMHl,13.0,[],Orlando Ef,0.0
6ZNDSyFGWQB3yFeqe2Mv50,1.0,[],Mjaoo & Trone,0.0
3rQV9WbpwhfnRlNgpTSqOj,2.0,[],Patricia Schuman,0.0
